YEAR,MO,DY,T2M_MIN,T2M_MAX,T2M,PRECTOTCORR
1981,10,9,13.83,27.38,19.48,0.34
1981,10,10,13.4,28.2,20.02,3.59
1981,10,11,14.77,30.21,21.59,2.86
1981,10,12,16.64,31.09,22.73,1.93
1981,10,13,16.65,28.23,21.74,2.98
1981,10,14,12.65,29.95,20.19,0.23
1981,10,15,13.97,29.07,20.53,15.07
1981,10,16,20.13,27.52,22.62,18.83
1981,10,17,15.17,27.55,20.89,0.04
1981,10,18,12.45,28.11,18.79,0.49
1981,10,19,13.71,21.6,16.86,25.07
1981,10,20,17.14,25.52,20.25,37.13
1981,10,21,12.48,26.98,19.37,0.0
1981,10,22,15.1,26.79,20.52,0.0
1981,10,23,13.44,28.38,20.4,0.01
1981,10,24,14.87,29.46,22.15,0.62
1981,10,25,16.63,31.43,24.02,1.68
1981,10,26,18.79,30.1,24.4,27.08
1981,10,27,19.56,26.84,22.41,18.59
1981,10,28,17.51,24.16,20.6,9.13
1981,10,29,17.46,28.72,22.42,18.57
1981,10,30,17.38,26.68,21.53,9.68
1981,10,31,16.04,26.01,20.69,2.98
1981,11,1,16.34,27.32,21.5,3.52
1981,11,2,16.8,28.44,22.51,6.58
1981,11,3,18.74,26.85,22.73,21.44
1981,11,4,20.02,28.34,23.58,11.19
1981,11,5,19.54,29.66,24.25,0.73
1981,11,6,18.71,31.48,24.38,0.04
1981,11,7,20.29,29.69,24.91,9.29
1981,11,8,18.76,29.18,23.98,15.05
1981,11,9,20.96,27.85,24.39,25.13
1981,11,10,20.26,28.4,23.5,5.05
1981,11,11,17.61,27.67,21.74,2.94
1981,11,12,16.64,27.0,21.22,0.66
1981,11,13,16.67,23.58,20.01,1.33
1981,11,14,16.09,28.09,21.81,4.03
1981,11,15,16.44,29.44,22.94,2.81
1981,11,16,16.31,30.07,23.14,8.93
1981,11,17,17.75,30.46,24.02,4.56
1981,11,18,18.55,29.68,24.14,17.43
1981,11,19,18.62,28.85,23.7,15.25
1981,11,20,20.49,27.34,23.24,10.15
1981,11,21,18.55,28.59,23.01,1.36
1981,11,22,17.82,29.15,23.13,0.05
1981,11,23,17.67,29.22,23.39,0.02
1981,11,24,16.72,29.36,22.74,0.36
1981,11,25,17.61,29.61,23.22,1.14
1981,11,26,17.96,27.57,22.06,1.76
1981,11,27,16.6,29.45,22.95,0.13
1981,11,28,17.84,30.52,24.26,0.98
1981,11,29,18.39,29.38,23.91,6.91
1981,11,30,20.12,28.67,23.92,13.76
1981,12,1,19.06,29.97,23.98,13.72
1981,12,2,19.43,27.52,23.1,13.89
1981,12,3,15.48,25.0,19.82,0.19
1981,12,4,15.31,26.75,20.85,9.28
1981,12,5,18.09,28.31,22.95,14.04
1981,12,6,19.87,27.86,23.33,9.62
1981,12,7,19.79,27.95,23.35,5.48
1981,12,8,16.44,22.53,19.41,28.85
1981,12,9,17.22,21.17,18.87,28.41
1981,12,10,15.57,28.39,21.29,5.11
1981,12,11,16.25,27.62,21.61,1.04
1981,12,12,18.87,28.41,23.45,14.16
1981,12,13,18.83,28.91,23.49,3.36
1981,12,14,17.31,29.48,23.46,2.88
1981,12,15,18.91,29.06,23.73,2.0
1981,12,16,19.72,25.82,22.51,4.94
1981,12,17,18.65,24.38,21.33,13.36
1981,12,18,16.93,28.03,22.44,6.29
1981,12,19,18.89,28.62,23.54,0.48
1981,12,20,18.1,30.08,24.12,0.11
1981,12,21,18.26,29.37,23.89,0.55
1981,12,22,19.15,27.56,23.39,0.78
1981,12,23,19.53,28.53,23.95,7.18
1981,12,24,20.45,28.86,24.32,9.82
1981,12,25,18.34,28.27,22.72,0.21
1981,12,26,16.51,27.24,20.87,0.45
1981,12,27,17.09,25.21,20.4,2.5
1981,12,28,15.97,26.91,21.23,0.42
1981,12,29,15.05,26.69,20.4,0.08
1981,12,30,14.31,28.08,20.68,0.12
1981,12,31,15.09,28.61,21.86,1.0
1982,1,1,17.43,29.55,23.75,5.75
1982,1,2,19.71,26.94,22.8,39.03
1982,1,3,18.04,26.91,21.31,0.82
1982,1,4,16.85,24.34,20.0,0.13
1982,1,5,15.11,27.69,20.94,0.03
1982,1,6,16.01,26.71,21.51,0.4
